path,w,h,kb,mode,top1,top8,ncolors,sat
DAPR-3345--Spatial_Audio_II/Instructor_Use_Only_(Hidden)/Uvu_Digital_Media_Logo.png,800,151,23,RGBA,0.59,0.981,29,0.0
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Self_Paced_Study_Desk.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Home_Studio_Finished_Master.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Studio_Control_Room_Beds_and_Objects.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Mix_Room_Calibration.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Atmos_Essentials_Listener_Dome.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Games_Height_Layer_Living_Room.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Atmos_Room_Banner.jpg,1942,809,340,RGB,0.067,0.33,446,0.348
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Learning_Path_Stepping_Stones.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Home_Studio_Objects_in_Motion.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Control_Room_After_the_Session.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Faders_Rising_to_the_Ceiling.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Home_Studio_First_Session.png,1600,600,10,RGB,0.971,1.0,4,0.007
DAPR-3345--Spatial_Audio_II/Dolby_Certification__Dolby_Learning_Portal_Certification_Track/Certification_Hours.png,1600,640,72,RGBA,0.896,0.989,34,0.023
DAPR-3345--Spatial_Audio_II/_unused/Final_Project/Player_at_Monitor_in_Dark_Room.jpg,1942,809,160,RGB,0.307,0.689,350,0.246
DAPR-3345--Spatial_Audio_II/_unused/Spatial_Recording/Frontal_Stage_View_with_Microphone_Tree.jpg,1942,809,346,RGB,0.074,0.36,655,0.514
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Workstation_Banner_Alt.jpg,1942,809,281,RGB,0.13,0.444,896,0.538
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Signal_Chain_Handoff_Alt.jpg,1536,1024,334,RGB,0.052,0.336,490,0.032
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Distance_Minimum_and_Maximum.jpg,1536,1024,228,RGB,0.202,0.597,651,0.068
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Cone_of_Confusion.jpg,1536,1024,154,RGB,0.08,0.355,368,0.1
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Linear_versus_Branching_Alt.jpg,1536,1024,218,RGB,0.117,0.565,554,0.062
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Cone_of_Confusion_Alt.jpg,1536,1024,138,RGB,0.184,0.554,347,0.059
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Workstation_Banner.jpg,1942,809,268,RGB,0.151,0.439,1044,0.484
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Obstruction_versus_Occlusion.jpg,1536,1024,199,RGB,0.14,0.534,560,0.054
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Linear_versus_Branching.jpg,1536,1024,200,RGB,0.125,0.471,623,0.098
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Rooms_and_Portals.jpg,1536,1024,226,RGB,0.159,0.439,619,0.086
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Signal_Chain_Handoff.jpg,1536,1024,253,RGB,0.073,0.187,1462,0.253
DAPR-3345--Spatial_Audio_II/Interactive_Audio__Foundations_of_Interactive_Spatial_Audio/Obstruction_versus_Occlusion_Alt.jpg,1536,1024,226,RGB,0.105,0.44,653,0.075
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Middleware_Desk_Banner.jpg,1942,809,275,RGB,0.158,0.37,1119,0.533
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Wwise_Three_Hierarchies.png,1600,640,69,RGBA,0.679,0.986,129,0.036
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Rooms_and_Portals_Alt.jpg,1536,1024,185,RGB,0.113,0.411,570,0.092
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Submission_Archive_Box.png,1600,600,10,RGB,0.971,1.0,4,0.018
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Compress_Many_into_Few.png,1600,600,10,RGB,0.971,1.0,4,0.018
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Nested_Containers.png,1600,600,10,RGB,0.971,1.0,4,0.018
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Music_Segments_on_Rails.png,1600,600,10,RGB,0.971,1.0,4,0.018
DAPR-3345--Spatial_Audio_II/Wwise__Implementation_and_Certification_in_Wwise/Rooms_and_Portals.jpg,1536,1024,226,RGB,0.159,0.439,619,0.086
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Emitter_Trigger_Zone.jpg,1536,1024,260,RGB,0.094,0.366,808,0.133
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Listener_Placement_Alt.jpg,1536,1024,259,RGB,0.15,0.507,511,0.046
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Emitter_Trigger_Zone_Alt.jpg,1536,1024,266,RGB,0.152,0.394,947,0.083
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Code_Driving_Sound.png,1600,600,10,RGB,0.971,1.0,4,0.015
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Listener_Placement.jpg,1536,1024,211,RGB,0.062,0.345,434,0.09
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Level_Greybox_with_Emitters.png,1600,600,10,RGB,0.971,1.0,4,0.015
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Greybox_Object_Gizmo.png,1600,600,10,RGB,0.971,1.0,4,0.015
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Audio_Script_Lifecycle.png,1600,540,65,RGBA,0.79,0.982,109,0.033
DAPR-3345--Spatial_Audio_II/Implementation__Level_Implementation_and_Engine_Scripting/Silent_Sound_Sequence.png,1600,660,85,RGBA,0.816,0.981,116,0.031
DAPR-3345--Spatial_Audio_II/Final_Project__Interactive_Audio_Implementation_and_Final_Exam/Study_Guide_Banner.jpg,1942,809,520,RGB,0.029,0.14,1504,0.466
DAPR-3345--Spatial_Audio_II/Final_Project__Interactive_Audio_Implementation_and_Final_Exam/Study_Guide_Banner_Alt.jpg,1942,809,589,RGB,0.017,0.104,1847,0.52
DAPR-3345--Spatial_Audio_II/Final_Project__Interactive_Audio_Implementation_and_Final_Exam/Final_Project_Milestones.png,1600,480,43,RGBA,0.891,0.992,50,0.002
DAPR-3345--Spatial_Audio_II/Final_Project__Interactive_Audio_Implementation_and_Final_Exam/Proposal_Planning_Table.png,1600,600,10,RGB,0.971,1.0,4,0.0
DAPR-3345--Spatial_Audio_II/Final_Project__Interactive_Audio_Implementation_and_Final_Exam/Player_at_Monitor_in_Lamplit_Room.jpg,1600,667,197,RGB,0.045,0.217,1030,0.479
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Angled_Stage_View_with_Boom_Array.jpg,1600,667,295,RGB,0.048,0.252,951,0.613
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Concert_Hall_Stereo_Image.png,1600,600,10,RGB,0.971,1.0,4,0.015
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Compact_Selected_Clips.jpg,961,463,130,RGB,0.291,0.801,433,0.019
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Bed_and_Objects_7_1_2.png,1600,700,71,RGBA,0.844,0.987,133,0.026
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Concert_Hall_Immersive_Dome.png,1600,600,10,RGB,0.971,1.0,4,0.015
DAPR-3345--Spatial_Audio_II/Spatial_Recording__Orchestral_Recording_and_Spatial_Mix/Empty_Hall_Afterward.png,1600,600,10,RGB,0.971,1.0,4,0.015
All/Pro_Tools_Cleanup/Session_Folder.jpg,237,286,9,RGB,0.366,0.712,1758,0.245
All/Pro_Tools_Cleanup/Bounce_Mix.jpg,420,537,28,RGB,0.52,0.862,331,0.004
All/Pro_Tools_Cleanup/Before.jpg,900,403,83,RGB,0.039,0.172,1884,0.397
All/Pro_Tools_Cleanup/After.jpg,900,421,81,RGB,0.065,0.257,1973,0.354
All/Pro_Tools_Cleanup/Compact_Menu.jpg,255,462,20,RGB,0.501,0.736,993,0.035
All/Pro_Tools_Cleanup/Compact_Dialog.jpg,460,374,35,RGB,0.569,0.853,421,0.007
All/Pro_Tools_Cleanup/Right_Click_Compress.jpg,488,457,23,RGB,0.187,0.735,1373,0.219
All/Pro_Tools_Cleanup/Select_Delete.jpg,497,162,14,RGB,0.426,0.743,1037,0.052
All/Pro_Tools_Cleanup/Save_Copy_in_Menu.jpg,392,561,29,RGB,0.158,0.485,1305,0.15
All/Pro_Tools_Cleanup/Press_Yes.jpg,400,154,11,RGB,0.38,0.746,671,0.041
All/Pro_Tools_Cleanup/Folder_Open.jpg,330,324,13,RGB,0.309,0.732,1637,0.225
All/Pro_Tools_Cleanup/Select_Unused.jpg,900,369,59,RGB,0.093,0.382,2168,0.171
All/Pro_Tools_Cleanup/Cleaned_Folder.jpg,304,188,8,RGB,0.317,0.818,837,0.125
All/Pro_Tools_Cleanup/Save_Copy_in_Dialog.jpg,500,470,28,RGB,0.653,0.86,446,0.005
All/Bonus__Assignments/MIDI_to_XLR_Pinout_Cable_Test.jpg,2048,922,205,RGB,0.075,0.315,1843,0.18
All/Bonus__Assignments/Talkback_Box_-_Empty.png,2010,1169,1404,RGBA,0.469,0.824,108,0.005
All/Bonus__Assignments/SRI_Survey_Window.png,1600,900,64,RGB,0.88,0.982,169,0.028
All/Bonus__Assignments/Talkback_Box_-_Wiring.png,2010,1169,1893,RGBA,0.444,0.783,391,0.024
All/Bonus__Assignments/5-Pin_DIN_Female_to_Female_MIDI_Barrel.png,1024,1024,620,RGBA,0.652,0.8,362,0.04
All/Bonus__Assignments/MIDI_to_XLR_Pinout.png,1600,853,123,RGBA,0.806,0.95,191,0.026
All/CS_623a_BOAA_Lab/Step_18_Pro_Tools_Navigate_to_Saved_Template.jpg,1059,523,53,RGB,0.506,0.685,1304,0.121
All/CS_623a_BOAA_Lab/Shared_Folder_With_Lab_Files.png,1600,900,768,P,0.129,0.244,188,0.33
All/CS_623a_BOAA_Lab/Room_Layout.png,1600,900,432,RGBA,0.849,0.97,175,0.018
All/CS_623a_BOAA_Lab/Finder_Settings_General_Pane_Open.png,1600,900,705,P,0.143,0.315,184,0.295
All/CS_623a_BOAA_Lab/Dashboard_New_Session_Location_Menu.png,1600,900,702,P,0.164,0.344,185,0.288
All/CS_623a_BOAA_Lab/Step_10_Pro_Tools_Usage_Click_No.jpg,1303,495,139,RGB,0.137,0.286,1894,0.328
All/CS_623a_BOAA_Lab/Peripherals_MIDI_Controllers_Predefined_Menu.png,1600,900,386,RGBA,0.369,0.825,990,0.056
All/CS_623a_BOAA_Lab/Interface_and_Headphone_Amp_Routing_Diagram.png,1600,1248,641,RGBA,0.715,0.835,624,0.024
All/CS_623a_BOAA_Lab/Microphone_Access_Permission_Dialog.png,1600,900,853,P,0.063,0.18,188,0.345
All/CS_623a_BOAA_Lab/Send_Assign_Menu_Bus_or_Track.png,835,838,170,RGB,0.411,0.811,1509,0.026
All/CS_623a_BOAA_Lab/Mac_Desktop_With_Dock_and_Notification.png,1600,900,970,P,0.03,0.164,177,0.398
All/CS_623a_BOAA_Lab/Step_09_All_Set.jpg,1500,878,103,RGB,0.41,0.876,882,0.047
All/CS_623a_BOAA_Lab/Finder_Window_Showing_New_Folder.png,1600,900,765,P,0.141,0.249,193,0.328
All/CS_623a_BOAA_Lab/Step_12_Pro_Tools_Rename_Session.jpg,1303,879,171,RGB,0.29,0.526,2298,0.189
All/CS_623a_BOAA_Lab/Step_13_Pro_Tools_Storage_Select.jpg,1303,879,173,RGB,0.278,0.522,2343,0.192
All/CS_623a_BOAA_Lab/Macintosh_HD_Root_Folders_in_Finder.png,1600,900,762,P,0.14,0.253,187,0.324
All/CS_623a_BOAA_Lab/Step_11_Pro_Tools_Dashboard.jpg,1099,879,123,RGB,0.354,0.64,1968,0.149
All/CS_623a_BOAA_Lab/Step_01_Setup.jpg,1500,878,111,RGB,0.512,0.812,802,0.052
All/CS_623a_BOAA_Lab/Step_06_Pro_Tools_Playback_Engine.jpg,939,503,75,RGB,0.238,0.532,1440,0.197
All/CS_623a_BOAA_Lab/Setup_Menu_Open_in_Edit_Window.png,1600,900,378,RGBA,0.462,0.782,957,0.061
All/CS_623a_BOAA_Lab/Finder_Window_With_Session_Template_File.png,1600,900,768,P,0.141,0.254,185,0.327
All/CS_623a_BOAA_Lab/Prompt_to_Select_Playback_Engine_Device.png,1600,900,854,P,0.061,0.198,183,0.347
All/CS_623a_BOAA_Lab/Empty_Edit_Window_Single_Track.png,1600,900,323,RGBA,0.478,0.829,934,0.065
All/CS_623a_BOAA_Lab/Dashboard_Interleaved_Option_Tooltip.png,1600,900,700,P,0.16,0.346,186,0.285
All/CS_623a_BOAA_Lab/Path_Selector_Search_Bus.png,794,582,95,RGB,0.439,0.878,1196,0.022
All/CS_623a_BOAA_Lab/Step_05_Pro_Tools_Allow.jpg,939,503,77,RGB,0.255,0.445,1406,0.192
All/CS_623a_BOAA_Lab/Step_19_Pro_Tools_Save_Session_as.jpg,1051,523,62,RGB,0.398,0.675,1287,0.117
All/CS_623a_BOAA_Lab/Playback_Engine_Device_List.png,1600,900,852,P,0.046,0.196,182,0.351
All/CS_623a_BOAA_Lab/Annotated_Audio_Interface_Front_Panel.png,1600,928,486,RGBA,0.744,0.842,623,0.022
All/CS_623a_BOAA_Lab/BOAA_Input_Signal_Path.png,1600,900,81,RGB,0.72,0.964,211,0.052
All/CS_623a_BOAA_Lab/Playback_Engine_Set_to_Volt_Interface.png,1600,900,846,P,0.054,0.2,179,0.348
All/CS_623a_BOAA_Lab/Finder_Step_5.jpg,1500,950,221,RGB,0.189,0.4,2418,0.233
All/CS_623a_BOAA_Lab/Session_Dashboard_With_Welcome_Popup.png,1600,900,675,P,0.172,0.36,183,0.283
All/CS_623a_BOAA_Lab/Step_16_Pro_Tools_Open_Session.jpg,1419,907,196,RGB,0.269,0.503,2312,0.18
All/CS_623a_BOAA_Lab/Avid_Diagnostic_Data_Consent_Prompt.png,1600,900,918,P,0.045,0.188,187,0.373
All/CS_623a_BOAA_Lab/Finder_Step_4.jpg,1500,950,232,RGB,0.194,0.372,2463,0.277
All/CS_623a_BOAA_Lab/Pro_Tools_Splash_With_Microphone_Alert.png,1600,900,851,P,0.059,0.196,181,0.351
All/CS_623a_BOAA_Lab/Finder_Step_10.jpg,1131,955,227,RGB,0.227,0.348,2684,0.27
All/CS_623a_BOAA_Lab/Dolby_Atmos_Template_List_Expanded.png,1600,900,639,P,0.175,0.365,187,0.268
All/CS_623a_BOAA_Lab/Step_02_Pro_Tools_Hardware_Select.jpg,1243,863,202,RGB,0.106,0.26,2490,0.306
All/CS_623a_BOAA_Lab/Step_07_Pro_Tools_Playback_Dialog_Box.jpg,939,503,67,RGB,0.223,0.576,1299,0.18
All/CS_623a_BOAA_Lab/Microphone_Access_Alert_at_Startup.png,1600,900,850,P,0.058,0.195,183,0.35
All/CS_623a_BOAA_Lab/Finder_Step_11.jpg,1131,955,186,RGB,0.234,0.353,2843,0.272
All/CS_623a_BOAA_Lab/Finder_Step_1.jpg,963,867,105,RGB,0.351,0.5,2156,0.224
All/CS_623a_BOAA_Lab/Finder_Step_3.jpg,1363,867,175,RGB,0.249,0.448,2098,0.267
All/CS_623a_BOAA_Lab/Save_New_Session_As_Dialog.png,1600,900,780,P,0.112,0.253,185,0.327
All/CS_623a_BOAA_Lab/Finder_Step_12.jpg,1131,955,174,RGB,0.268,0.386,2616,0.254
All/CS_623a_BOAA_Lab/Finder_Step_2.jpg,1351,1007,227,RGB,0.214,0.314,2901,0.321
All/CS_623a_BOAA_Lab/Step_09_Pro_Tools_Volt_OK.jpg,939,503,67,RGB,0.223,0.577,1299,0.18
All/CS_623a_BOAA_Lab/Boaa_Lab_Welcome_Banner.png,1600,686,619,P,0.182,0.445,119,0.637
All/CS_623a_BOAA_Lab/Step_01_Pro_Tools_Launch.jpg,1303,975,282,RGB,0.022,0.135,2627,0.396
All/CS_623a_BOAA_Lab/Finder_Step_9.jpg,1131,955,177,RGB,0.257,0.373,2737,0.261
All/CS_623a_BOAA_Lab/Step_04_Pro_Tools_Mic_Select_OK.jpg,939,503,75,RGB,0.259,0.446,1382,0.191
All/CS_623a_BOAA_Lab/Shared_Template_File_in_Finder.png,1600,900,768,P,0.146,0.255,187,0.319
All/CS_623a_BOAA_Lab/Step_08_Pro_Tools_Dropdown_Volt_4.jpg,939,503,77,RGB,0.183,0.512,1407,0.202
All/CS_623a_BOAA_Lab/Finder_Step_8.jpg,1131,955,177,RGB,0.259,0.375,2696,0.26
All/CS_623a_BOAA_Lab/Finder_Settings_Sidebar_Preferences.png,1600,900,640,P,0.142,0.322,178,0.264
All/CS_623a_BOAA_Lab/Playback_Engine_Set_to_Aggregate_I-O.png,1600,900,843,P,0.053,0.205,182,0.348
All/CS_623a_BOAA_Lab/Step_03_Pro_Tools_First_Warning.jpg,939,503,77,RGB,0.234,0.532,1420,0.199
All/CS_623a_BOAA_Lab/Users_Folder_With_Shared_Selected.png,1600,900,1633,RGB,0.123,0.24,195,0.329
All/CS_623a_BOAA_Lab/Macintosh_HD_Opened_in_Finder.png,1600,900,1951,RGB,0.14,0.231,3004,0.341
All/CS_623a_BOAA_Lab/Step_17_Pro_Tools_Navigate_to_Shared_Documents.jpg,1227,867,152,RGB,0.266,0.396,2234,0.304
All/CS_623a_BOAA_Lab/Step_15_Pro_Tools_Template_Selection.jpg,1303,907,187,RGB,0.275,0.511,2377,0.192
All/CS_623a_BOAA_Lab/Local_Network_Permission_Dialog.png,1600,900,859,P,0.063,0.175,189,0.345
All/CS_623a_BOAA_Lab/Step_20_New_Session.jpg,1500,878,109,RGB,0.53,0.865,784,0.06
All/CS_623a_BOAA_Lab/Empty_Desktop_Finder_Window.png,1600,900,763,P,0.147,0.255,184,0.324
All/CS_623a_BOAA_Lab/Finder_Settings_General_Pane.png,1600,900,711,P,0.148,0.314,183,0.291
All/CS_623a_BOAA_Lab/Step_14_Pro_Tools_Engine_Selections.jpg,1303,879,169,RGB,0.292,0.528,2300,0.189
All/CS_623a_BOAA_Lab/Dashboard_New_Session_Configuration_Panel.png,1600,900,700,P,0.173,0.349,186,0.287
All/CS_623a_BOAA_Lab/New_Session_Dashboard_Settings.png,1600,900,700,P,0.171,0.347,184,0.288
All/CS_623a_BOAA_Lab/Finder_Menu_Settings_Highlighted.png,1600,900,744,P,0.146,0.256,189,0.319
All/DAPR_Monitor/Shure_SRH840A.jpg,367,630,35,RGB,0.539,0.729,833,0.062
All/DAPR_Monitor/Yamaha_HS8.jpg,438,630,31,RGB,0.32,0.706,140,0.037
All/DAPR_Monitor/AKG_K240_Studio.jpg,801,1200,127,RGB,0.027,0.144,2323,0.235
All/DAPR_Monitor/Audio_Technica_ATH_R30x.png,1600,1600,1130,RGB,0.796,0.906,161,0.004
All/DAPR_Monitor/JBL_305P_MkII.png,1600,1600,993,RGB,0.584,0.748,105,0.0
